Season,Agency,Date,Time,Station ID,Field Rep,Depth(m),Time (s),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (å-theta),pH,Oxygen (mg/L),SBE DO sat (mg/L),SBE DO sat (%),Transmissivity (%),SBE Beam C,Chl-a (ug/L),Voltage-Chl-a,Chl-a (ug/L) USC/UCLA,Chl-a (ug/L) ECO,CDOM (ug/L),Voltage-CDOM,Irradiance,Surface Irradiance,Irradiance (% Norm),delta T,Stability (E),Qual_NH3,Ammonia-N (ug/L),Qual_TC,Total Colif. (MPN),Qual_FC,Fecal Colif. (MPN),Qual_EC,E. coli (MPN),Qual_ENT,Enterococci (MPN)
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,61,83.4,1.21,10.99,3.759,33.532,25.635,7.82,4.94,8.92,55.39,89.85,0.107,0.31,0.1186,-1,-1,0.89,0.1852,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,62,84.3,1.11,10.96,3.756,33.537,25.645,7.82,4.92,8.92,55.18,89.84,0.107,0.31,0.1191,-1,-1,0.89,0.1849,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,63,85.2,1.04,10.92,3.753,33.545,25.659,7.82,4.91,8.93,55.01,89.85,0.107,0.31,0.1183,-1,-1,0.9,0.1855,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,64,86.2,1.13,10.9,3.752,33.549,25.665,7.82,4.9,8.94,54.85,89.87,0.107,0.31,0.1183,-1,-1,0.9,0.1854,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,65,87,1.17,10.89,3.751,33.551,25.668,7.81,4.87,8.94,54.54,89.83,0.107,0.3,0.1173,-1,-1,0.9,0.1857,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,66,88,0.99,10.86,3.75,33.555,25.676,7.81,4.81,8.94,53.86,89.83,0.107,0.3,0.1168,-1,-1,0.9,0.1855,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,67,89,1.07,10.85,3.749,33.559,25.681,7.81,4.75,8.94,53.13,89.8,0.108,0.3,0.1161,-1,-1,0.9,0.186,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,68,89.9,1.28,10.81,3.746,33.567,25.694,7.81,4.72,8.95,52.8,89.74,0.108,0.29,0.1152,-1,-1,0.91,0.1867,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,69,90.7,1.02,10.74,3.742,33.584,25.72,7.8,4.72,8.96,52.7,89.72,0.109,0.29,0.1152,-1,-1,0.91,0.1869,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,70,92,0.65,10.69,3.738,33.601,25.743,7.8,4.7,8.97,52.43,89.67,0.109,0.29,0.1147,-1,-1,0.91,0.1869,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,71,93.3,1.08,10.67,3.737,33.605,25.749,7.79,4.65,8.98,51.76,89.63,0.109,0.29,0.1141,-1,-1,0.91,0.1873,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,72,94.2,1.29,10.66,3.736,33.608,25.754,7.79,4.61,8.98,51.33,89.59,0.11,0.29,0.1142,-1,-1,0.91,0.1873,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,73,94.9,1.28,10.63,3.734,33.617,25.766,7.79,4.61,8.98,51.32,89.51,0.111,0.29,0.1143,-1,-1,0.91,0.1873,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,74,95.8,1.1,10.58,3.732,33.631,25.785,7.79,4.63,8.99,51.54,89.43,0.112,0.29,0.1146,-1,-1,0.92,0.1878,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,75,96.8,0.92,10.57,3.731,33.633,25.788,7.78,4.63,8.99,51.48,89.42,0.112,0.28,0.1131,-1,-1,0.91,0.1874,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,76,97.8,1.12,10.57,3.731,33.635,25.791,7.78,4.62,9,51.36,89.42,0.112,0.28,0.1134,-1,-1,0.92,0.1882,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,77,98.7,1.26,10.55,3.73,33.637,25.794,7.78,4.63,9,51.45,89.44,0.112,0.28,0.1136,-1,-1,0.92,0.1878,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,78,99.5,1.15,10.54,3.729,33.638,25.797,7.78,4.62,9,51.3,89.47,0.111,0.28,0.1133,-1,-1,0.92,0.1879,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,79,100.5,0.98,10.52,3.727,33.642,25.804,7.78,4.59,9,50.97,89.5,0.111,0.28,0.1134,-1,-1,0.92,0.1878,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,80,101.5,1.03,10.52,3.727,33.644,25.807,7.78,4.6,9.01,51.06,89.49,0.111,0.28,0.1128,-1,-1,0.92,0.1883,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,81,102.5,1.01,10.51,3.727,33.647,25.81,7.78,4.62,9.01,51.29,89.48,0.111,0.28,0.1127,-1,-1,0.92,0.1879,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,82,103.5,0.91,10.51,3.727,33.648,25.811,7.78,4.63,9.01,51.45,89.49,0.111,0.28,0.1129,-1,-1,0.93,0.1885,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,83,104.6,0.98,10.5,3.726,33.648,25.812,7.78,4.65,9.01,51.69,89.5,0.111,0.28,0.113,-1,-1,0.92,0.1884,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,84,105.6,1.02,10.5,3.726,33.649,25.813,7.78,4.66,9.01,51.79,89.52,0.111,0.28,0.1123,-1,-1,0.92,0.1881,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,85,106.6,0.95,10.48,3.725,33.651,25.817,7.77,4.64,9.01,51.49,89.57,0.11,0.27,0.1117,-1,-1,0.92,0.1882,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,86,107.7,0.99,10.47,3.724,33.653,25.822,7.77,4.64,9.01,51.53,89.63,0.11,0.27,0.1115,-1,-1,0.92,0.1883,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,87,108.6,1.15,10.46,3.723,33.654,25.824,7.77,4.64,9.02,51.43,89.64,0.109,0.27,0.1118,-1,-1,0.92,0.1882,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,88,109.5,1.09,10.44,3.722,33.659,25.832,7.77,4.44,9.02,49.2,89.67,0.109,0.27,0.1117,-1,-1,0.92,0.188,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,89,110.5,0.9,10.39,3.719,33.672,25.85,7.77,4.2,9.03,46.52,89.74,0.108,0.27,0.1109,-1,-1,0.93,0.1895,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,90,111.6,1.1,10.32,3.714,33.693,25.878,7.76,4.13,9.04,45.7,89.82,0.107,0.26,0.1098,-1,-1,0.94,0.1898,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,91,112.4,1.24,10.29,3.713,33.706,25.895,7.76,4.1,9.05,45.38,89.83,0.107,0.26,0.1091,-1,-1,0.93,0.1895,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,92,113.3,1,10.27,3.712,33.714,25.904,7.76,4.05,9.05,44.78,89.81,0.107,0.26,0.1087,-1,-1,0.93,0.1891,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,93,114.5,0.83,10.25,3.711,33.722,25.913,7.76,3.99,9.05,44.13,89.84,0.107,0.25,0.1084,-1,-1,0.94,0.1896,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,94,115.5,1.18,10.19,3.708,33.747,25.943,7.75,3.95,9.06,43.63,89.8,0.108,0.25,0.1077,-1,-1,0.94,0.1904,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,95,116.3,1.25,10.18,3.708,33.753,25.949,7.75,3.93,9.07,43.33,89.79,0.108,0.25,0.1073,-1,-1,0.94,0.1905,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,96,117.2,1.07,10.17,3.707,33.758,25.956,7.74,3.92,9.07,43.2,89.8,0.108,0.26,0.1088,-1,-1,0.94,0.1906,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,97,118.2,0.99,10.15,3.706,33.766,25.965,7.74,3.92,9.07,43.23,89.84,0.107,0.25,0.1074,-1,-1,0.94,0.1904,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,98,119.2,1.08,10.14,3.706,33.77,25.97,7.74,3.92,9.07,43.28,89.86,0.107,0.25,0.1071,-1,-1,0.94,0.1906,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,99,120.1,1.01,10.13,3.705,33.775,25.976,7.74,3.92,9.07,43.19,89.87,0.107,0.25,0.1072,-1,-1,0.95,0.1907,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 09:04:00,2806,1,100,121.2,0.9,10.12,3.705,33.777,25.979,7.74,3.92,9.08,43.23,89.86,0.107,0.25,0.1072,-1,-1,0.95,0.1911,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,1,25.9,0.11,15.04,4.069,32.941,24.376,8.15,8.45,8.22,102.61,75.08,0.287,2.1,0.4375,-1,-1,1.09,0.2062,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,2,30,0.56,15.14,4.076,32.926,24.343,8.16,8.53,8.21,103.83,76.55,0.267,1.73,0.3737,-1,-1,1.04,0.2011,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,3,31.4,0.95,15.12,4.075,32.927,24.347,8.15,8.39,8.21,102.1,76.25,0.271,1.93,0.4097,-1,-1,1.04,0.2005,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,4,32.4,0.93,15.06,4.07,32.938,24.371,8.15,8.24,8.22,100.17,76.06,0.274,2.4,0.492,-1,-1,1.05,0.2021,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,5,33.6,0.9,15.01,4.067,32.948,24.389,8.14,8.12,8.23,98.53,76.01,0.274,2.82,0.5668,-1,-1,1.08,0.2047,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,6,34.6,1.08,14.92,4.061,32.967,24.422,8.13,8.04,8.24,97.49,75.89,0.276,3.14,0.6219,-1,-1,1.11,0.2084,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,7,35.5,1.12,14.9,4.059,32.966,24.426,8.12,7.97,8.25,96.6,75.71,0.278,3.13,0.6235,-1,-1,1.13,0.2109,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,8,36.5,0.97,14.87,4.056,32.965,24.432,8.11,7.91,8.25,95.77,75.17,0.285,3.11,0.6185,-1,-1,1.17,0.2151,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,9,37.5,0.97,14.85,4.055,32.966,24.436,8.11,7.92,8.25,95.83,74.53,0.294,3.02,0.5999,-1,-1,1.2,0.2181,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,10,38.5,1.12,14.8,4.052,32.989,24.466,8.1,7.96,8.26,96.23,73.86,0.303,2.81,0.5665,-1,-1,1.2,0.2179,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,11,39.4,1.16,14.8,4.053,32.993,24.469,8.1,7.96,8.26,96.3,74.04,0.3,2.73,0.5504,-1,-1,1.19,0.217,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,12,40.3,0.99,14.79,4.053,32.999,24.475,8.1,7.98,8.26,96.44,74.86,0.29,2.62,0.5326,-1,-1,1.17,0.2149,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,13,41.4,0.87,14.75,4.051,33.026,24.505,8.1,7.99,8.27,96.54,75.56,0.281,2.65,0.5356,-1,-1,1.14,0.2112,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,14,42.5,1.09,14.75,4.052,33.028,24.507,8.1,8.01,8.27,96.8,75.42,0.282,2.56,0.5209,-1,-1,1.12,0.2097,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,15,43.3,1.27,14.74,4.051,33.032,24.512,8.1,8.03,8.27,96.99,75.43,0.282,2.58,0.5233,-1,-1,1.11,0.2081,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,16,44.1,1.11,14.74,4.052,33.038,24.517,8.1,8.03,8.27,96.99,75.01,0.287,2.57,0.5211,-1,-1,1.09,0.2064,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,17,45.3,0.79,14.74,4.052,33.041,24.519,8.1,7.97,8.27,96.32,75.08,0.287,2.66,0.5382,-1,-1,1.08,0.2052,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,18,46.4,1.05,14.73,4.052,33.042,24.52,8.1,7.91,8.27,95.53,74.79,0.29,2.61,0.5286,-1,-1,1.07,0.2041,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,19,47.3,1.17,14.71,4.051,33.05,24.531,8.1,7.9,8.27,95.35,74.23,0.298,2.39,0.4905,-1,-1,1.07,0.2038,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,20,48.3,0.9,14.69,4.049,33.056,24.542,8.1,7.79,8.28,94.07,73.83,0.303,2.3,0.4731,-1,-1,1.08,0.2048,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,21,49.6,0.68,14.68,4.049,33.056,24.543,8.09,7.78,8.28,93.94,73.73,0.305,2.17,0.451,-1,-1,1.09,0.2059,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,22,51.1,0.68,14.62,4.044,33.07,24.568,8.08,7.89,8.29,95.15,72.98,0.315,1.99,0.4205,-1,-1,1.1,0.2078,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,23,51.8,0.24,14.62,4.045,33.071,24.568,8.08,7.92,8.29,95.42,73.24,0.313,2.09,0.4366,-1,-1,1.11,0.208,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:29:00,2701,1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,1,30.2,0.18,15.19,4.069,32.818,24.249,8.16,8.58,8.21,104.44,76.99,0.261,1.16,0.2702,-1,-1,1.19,0.2164,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,2,33.2,0.97,15.18,4.068,32.817,24.25,8.17,8.67,8.21,105.59,77.51,0.255,1.21,0.2799,-1,-1,1.18,0.2163,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,3,34.4,0.74,15.18,4.068,32.817,24.252,8.17,8.71,8.21,105.98,77.63,0.253,1.33,0.3009,-1,-1,1.18,0.2163,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,4,35.8,0.83,15.17,4.068,32.821,24.256,8.17,8.75,8.21,106.5,77.59,0.254,1.56,0.3412,-1,-1,1.18,0.2156,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,5,37,0.73,15.16,4.07,32.847,24.278,8.17,8.77,8.21,106.72,77.75,0.252,1.89,0.4001,-1,-1,1.14,0.212,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,6,38.4,0.73,15.14,4.074,32.895,24.319,8.17,8.76,8.21,106.62,78.04,0.248,2.24,0.4634,-1,-1,1.08,0.2053,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,7,39.8,0.74,15.13,4.074,32.907,24.331,8.17,8.73,8.21,106.25,78.24,0.245,2.51,0.5099,-1,-1,1.06,0.2025,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,8,41,1.08,15.09,4.071,32.915,24.346,8.17,8.71,8.22,105.92,78.39,0.244,2.67,0.5406,-1,-1,1.05,0.2021,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,9,42.2,0.68,15.06,4.069,32.924,24.36,8.16,8.74,8.22,106.17,78.3,0.245,2.94,0.5872,-1,-1,1.05,0.2016,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,10,43.6,0.87,15.04,4.069,32.941,24.377,8.16,8.69,8.23,105.56,78.26,0.245,3.11,0.6196,-1,-1,1.03,0.1997,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,11,44.5,1.11,15.03,4.07,32.953,24.389,8.16,8.57,8.23,104.1,78.12,0.247,3.25,0.6437,-1,-1,1.02,0.1989,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,12,45.6,0.83,14.97,4.066,32.969,24.412,8.16,8.4,8.23,101.87,78.02,0.248,3.57,0.6992,-1,-1,1.01,0.1978,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,13,46.9,0.84,14.89,4.062,33,24.455,8.15,8.19,8.25,99.18,77.52,0.254,3.75,0.7323,-1,-1,0.99,0.1952,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,14,48,0.98,14.8,4.058,33.036,24.501,8.14,8.08,8.26,97.72,77.74,0.252,3.56,0.6976,-1,-1,0.97,0.1931,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,15,48.9,1.08,14.7,4.052,33.071,24.55,8.13,7.98,8.27,96.4,78.02,0.249,3.26,0.6465,-1,-1,0.98,0.1942,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,16,50.2,0.7,14.67,4.05,33.073,24.557,8.11,7.89,8.28,95.22,77.15,0.259,2.96,0.5915,-1,-1,1.01,0.1974,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,17,51.5,1.02,14.6,4.045,33.09,24.586,8.1,7.61,8.29,91.68,77.98,0.249,2.61,0.5305,-1,-1,1.01,0.1975,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,18,52.3,1.27,14.55,4.042,33.103,24.606,8.1,7.26,8.3,87.44,79.34,0.232,2.5,0.5062,-1,-1,0.99,0.1954,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,19,53.3,0.9,14.49,4.038,33.122,24.635,8.09,7.01,8.31,84.35,79.94,0.224,2.19,0.4552,-1,-1,0.99,0.1954,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,20,54.4,0.92,14.15,4.014,33.193,24.761,8.07,6.98,8.36,83.43,81.37,0.206,1.79,0.3837,-1,-1,0.96,0.1922,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,21,55.4,1.08,13.83,3.991,33.254,24.874,8.04,7.03,8.41,83.47,82.54,0.192,1.66,0.3605,-1,-1,0.92,0.1883,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,22,56.6,0.73,13.76,3.986,33.263,24.895,8.03,7.05,8.43,83.67,82.95,0.187,1.61,0.3509,-1,-1,0.91,0.1868,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,23,58.3,0.47,13.76,3.986,33.263,24.895,8.03,7.04,8.43,83.51,83.05,0.186,1.61,0.3496,-1,-1,0.91,0.1866,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,24,59.6,0.21,13.75,3.985,33.266,24.899,8.03,7.01,8.43,83.16,83.14,0.185,1.57,0.3431,-1,-1,0.9,0.1862,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:18:00,2702,1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:07:00,2703,1,1,27.4,0.17,15.13,4.069,32.865,24.298,8.16,8.63,8.21,104.95,74.94,0.288,2.66,0.5369,-1,-1,1.2,0.2176,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:07:00,2703,1,2,30.3,0.61,15.21,4.071,32.823,24.249,8.16,8.66,8.2,105.48,74.48,0.295,2.46,0.5039,-1,-1,1.26,0.2245,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:07:00,2703,1,3,31.6,1.04,15.2,4.071,32.825,24.253,8.16,8.66,8.2,105.46,74.8,0.289,2.93,0.5839,-1,-1,1.25,0.2236,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:07:00,2703,1,4,32.5,0.96,15.09,4.068,32.889,24.327,8.16,8.65,8.22,105.16,76.88,0.263,3.16,0.6277,-1,-1,1.18,0.2157,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:07:00,2703,1,5,33.7,0.81,15.04,4.067,32.921,24.36,8.16,8.6,8.23,104.51,78.07,0.248,3.14,0.6244,-1,-1,1.12,0.2092,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/15/2017, 10:07:00,2703,1,6,34.8,1.11,15.02,4.067,32.941,24.381,8.16,8.56,8.23,103.89,78.27,0.245,3.18,0.6312,-1,-1,1.09,0.2057,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
