Season,Agency,Date,Time,Station,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Winter,Hyperion,3/14/2018,9:28:00,3706,1,18,142.60001,0.7,13.55,3.993,33.511,25.129,8.28,8.3,8.45,98.19,85.87,0.609,0.87,0.2535,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,19,144.10001,0.64,13.49,3.987,33.512,25.142,8.28,8.2,8.46,96.83,86.07,0.6,0.91,0.2623,0.2,0.1144,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,20,145.60001,0.71,13.42,3.981,33.512,25.156,8.27,8.12,8.47,95.81,86.4,0.585,0.91,0.2615,0.21,0.1147,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,21,146.89999,0.9,13.33,3.972,33.511,25.174,8.26,8.09,8.49,95.23,86.47,0.582,0.81,0.2411,0.21,0.1149,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,22,148.39999,0.57,13.28,3.967,33.513,25.186,8.26,8.02,8.5,94.29,86.55,0.578,0.8,0.2405,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,23,149.8,0.98,13.24,3.964,33.513,25.193,8.26,7.9,8.5,92.88,86.82,0.565,0.7,0.2196,0.24,0.1167,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,24,151.3,0.58,13.19,3.959,33.512,25.204,8.25,7.74,8.51,90.86,86.86,0.563,0.69,0.2177,0.24,0.1172,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,25,152.8,0.9,13.11,3.951,33.513,25.22,8.25,7.57,8.53,88.72,86.88,0.562,0.7,0.2201,0.25,0.1173,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,26,154,0.71,13.03,3.945,33.515,25.236,8.24,7.44,8.54,87.08,86.96,0.559,0.53,0.1868,0.24,0.117,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,27,155.5,0.63,12.96,3.938,33.513,25.249,8.23,7.27,8.55,84.98,86.95,0.559,0.46,0.1712,0.24,0.1172,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,28,157,0.8,12.92,3.934,33.515,25.26,8.22,7.07,8.56,82.54,87.63,0.528,0.4,0.1595,0.24,0.117,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,29,158.3,0.7,12.85,3.928,33.519,25.276,8.22,6.96,8.57,81.11,87.85,0.518,0.38,0.1565,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,30,159.60001,0.91,12.76,3.919,33.511,25.288,8.21,6.84,8.59,79.64,87.95,0.514,0.37,0.1544,0.23,0.1159,0.01,5,5,5
Winter,Hyperion,3/14/2018,9:28:00,3706,1,31,160.8,0.76,12.72,3.916,33.518,25.301,8.2,6.76,8.6,78.55,88.03,0.51,0.36,0.1528,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,32,162.7,0.42,12.7,3.915,33.526,25.311,8.19,6.49,8.6,75.39,88.16,0.504,0.39,0.1589,0.22,0.1153,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,33,164.5,1.01,12.54,3.898,33.508,25.329,8.19,6.27,8.63,72.6,88.11,0.506,0.33,0.146,0.18,0.1126,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,34,165.60001,0.76,12.48,3.892,33.508,25.34,8.18,6.21,8.64,71.8,88.48,0.49,0.38,0.1561,0.16,0.1114,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,35,167.10001,0.66,12.44,3.889,33.511,25.35,8.17,6.14,8.65,70.92,88.62,0.483,0.33,0.1461,0.17,0.112,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,36,168.60001,0.65,12.39,3.885,33.506,25.355,8.16,6.05,8.66,69.87,88.62,0.483,0.35,0.1507,0.16,0.1116,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,37,170,0.79,12.33,3.878,33.505,25.367,8.16,6,8.67,69.25,88.87,0.472,0.31,0.1417,0.15,0.1104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,38,171.7,0.48,12.3,3.876,33.51,25.376,8.15,5.94,8.67,68.41,88.93,0.469,0.27,0.1336,0.15,0.1109,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,39,173.3,1.18,12.27,3.874,33.518,25.388,8.15,5.86,8.68,67.52,88.99,0.467,0.24,0.1274,0.15,0.1107,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,40,174.2,1.01,12.26,3.874,33.522,25.393,8.14,5.8,8.68,66.75,88.96,0.468,0.27,0.1332,0.15,0.1103,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,41,175.7,0.54,12.15,3.864,33.522,25.414,8.14,5.73,8.7,65.82,89.05,0.464,0.32,0.1445,0.15,0.1106,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,42,177.89999,0.44,12.05,3.855,33.524,25.434,8.14,5.63,8.72,64.58,89.08,0.462,0.24,0.1282,0.15,0.1103,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,43,179.60001,1.01,11.98,3.849,33.529,25.451,8.13,5.57,8.73,63.79,89.13,0.46,0.24,0.1276,0.14,0.11,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,44,180.5,1.16,11.91,3.844,33.537,25.47,8.13,5.56,8.74,63.61,89.16,0.459,0.25,0.1307,0.15,0.1107,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,45,182,0.51,11.88,3.841,33.541,25.481,8.13,5.53,8.75,63.22,89.24,0.455,0.2,0.1208,0.15,0.1107,0.01,5,5,5
Winter,Hyperion,3/14/2018,9:28:00,3706,1,46,183.60001,0.91,11.84,3.838,33.547,25.492,8.12,5.48,8.76,62.59,89.26,0.455,0.21,0.1221,0.14,0.1101,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,47,185.2,0.49,11.78,3.833,33.55,25.505,8.12,5.31,8.77,60.57,89.29,0.453,0.23,0.1256,0.15,0.1104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,48,186.8,1.03,11.58,3.815,33.555,25.546,8.12,5.16,8.81,58.65,89.29,0.453,0.21,0.1212,0.16,0.111,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,49,188,0.7,11.39,3.798,33.567,25.591,8.12,5.13,8.84,58.05,89.35,0.45,0.22,0.1239,0.15,0.1109,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,50,189.60001,0.62,11.31,3.792,33.569,25.606,8.11,5.1,8.85,57.65,89.34,0.451,0.22,0.1243,0.16,0.111,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,51,191,0.86,11.27,3.788,33.569,25.614,8.11,5.08,8.86,57.3,89.43,0.447,0.22,0.1231,0.15,0.1104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,52,192.2,0.77,11.22,3.783,33.57,25.624,8.11,5.03,8.87,56.72,89.43,0.447,0.23,0.1263,0.15,0.1105,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,53,194.10001,0.43,11.14,3.777,33.575,25.642,8.11,4.99,8.89,56.13,89.41,0.448,0.23,0.1258,0.16,0.1115,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,54,196.10001,0.65,11.08,3.771,33.579,25.656,8.1,4.95,8.9,55.66,89.29,0.453,0.23,0.1259,0.16,0.1116,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,55,197.3,1.14,11,3.764,33.585,25.676,8.1,4.93,8.91,55.29,89.29,0.453,0.24,0.1277,0.17,0.1116,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,56,198.3,0.84,10.94,3.759,33.591,25.691,8.1,4.9,8.93,54.94,89.22,0.456,0.24,0.1277,0.16,0.1112,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,57,199.60001,0.72,10.87,3.754,33.599,25.71,8.1,4.88,8.94,54.59,89.27,0.454,0.24,0.1286,0.16,0.111,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,58,201.3,0.57,10.81,3.749,33.607,25.727,8.1,4.85,8.95,54.25,89.3,0.453,0.24,0.1272,0.16,0.111,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,59,202.8,0.89,10.79,3.748,33.609,25.731,8.1,4.79,8.95,53.52,89.29,0.453,0.22,0.1232,0.17,0.1116,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,60,204,0.68,10.75,3.745,33.617,25.743,8.09,4.67,8.96,52.12,89.33,0.451,0.24,0.1277,0.2,0.1141,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,61,205.7,0.56,10.74,3.745,33.627,25.753,8.09,4.52,8.96,50.42,89.38,0.449,0.22,0.1236,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,62,207.10001,0.85,10.74,3.746,33.633,25.758,8.09,4.45,8.96,49.62,89.35,0.45,0.21,0.1222,0.25,0.1174,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,63,208.7,0.53,10.74,3.746,33.636,25.761,8.08,4.42,8.96,49.32,88.96,0.468,0.2,0.12,0.28,0.1195,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,64,210.3,0.84,10.68,3.742,33.643,25.776,8.08,4.41,8.97,49.17,88.72,0.479,0.22,0.123,0.3,0.1209,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,65,211.5,0.81,10.66,3.74,33.647,25.783,8.08,4.4,8.98,49.02,88.55,0.487,0.23,0.1253,0.26,0.1185,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,66,218.89999,0.08,10.65,3.739,33.65,25.787,8.07,4.38,8.98,48.77,88.3,0.498,0.21,0.1228,0.27,0.1192,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,67,226.7,0.47,10.62,3.738,33.656,25.797,8.06,4.32,8.98,48.16,88.22,0.501,0.22,0.1246,0.29,0.1207,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,68,228.7,0.53,10.62,3.737,33.657,25.799,8.06,4.28,8.98,47.61,88.07,0.508,0.24,0.129,0.28,0.1197,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,69,230.10001,1.05,10.6,3.736,33.66,25.804,8.06,4.24,8.99,47.15,87.99,0.512,0.24,0.1275,0.28,0.12,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,70,231.2,0.81,10.58,3.734,33.666,25.813,8.06,4.24,8.99,47.18,87.84,0.519,0.29,0.1376,0.3,0.1209,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,71,233.3,0.39,10.55,3.733,33.672,25.822,8.06,4.22,9,46.89,87.54,0.532,0.27,0.1346,0.29,0.1206,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,72,235.2,0.89,10.54,3.732,33.675,25.826,8.06,4.17,9,46.37,87.46,0.536,0.26,0.1322,0.31,0.1221,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,73,236.10001,1.26,10.53,3.731,33.677,25.83,8.06,4.16,9,46.19,87.52,0.533,0.27,0.133,0.3,0.1214,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,74,237,0.94,10.51,3.73,33.681,25.836,8.06,4.15,9,46.1,87.5,0.534,0.26,0.1312,0.31,0.122,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,75,238.60001,0.5,10.49,3.729,33.683,25.841,8.05,4.14,9.01,46.03,87.35,0.541,0.27,0.1331,0.3,0.1213,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,76,240.60001,0.56,10.48,3.728,33.686,25.846,8.05,4.14,9.01,45.95,87.28,0.544,0.27,0.135,0.29,0.1207,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,77,244.2,0.25,10.47,3.727,33.689,25.849,8.05,4.14,9.01,45.93,87.17,0.549,0.42,0.1639,0.3,0.1215,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,9:28:00,3706,1,78,245.60001,0.2,10.47,3.727,33.689,25.85,8.05,4.14,9.01,45.92,87.15,0.55,0.24,0.1288,0.31,0.1215,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,1,105.4,0.73,15.48,4.162,33.411,24.643,8.26,8.43,8.13,103.64,40,3.997,0.47,0.1734,0.06,0.1043,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,2,107.3,0.41,15.47,4.162,33.412,24.645,8.26,8.45,8.13,103.78,68.35,1.583,0.5,0.18,0.07,0.1046,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,3,109.6,0.45,15.43,4.158,33.414,24.656,8.26,8.48,8.14,104.14,81.31,0.828,0.55,0.1902,0.06,0.1043,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,4,112.2,0.36,15.44,4.159,33.413,24.651,8.26,8.49,8.13,104.23,80.44,0.871,0.6,0.2,0.06,0.1042,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,5,114.5,0.6,15.42,4.157,33.413,24.656,8.26,8.52,8.14,104.55,81.48,0.819,0.61,0.201,0.06,0.1043,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,6,116.4,0.48,15.3,4.146,33.417,24.686,8.26,8.54,8.16,104.64,81.31,0.828,0.68,0.2153,0.06,0.1044,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,7,118.9,0.37,15.28,4.145,33.418,24.691,8.27,8.54,8.16,104.57,82.25,0.782,0.78,0.2354,0.07,0.1047,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,8,121,0.63,15.27,4.144,33.418,24.694,8.27,8.54,8.16,104.57,82.7,0.76,0.97,0.2731,0.07,0.1049,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,11:07:00,3601,1,9,124.8,0.15,15.27,4.143,33.418,24.695,8.27,8.54,8.16,104.51,82.8,0.755,1.07,0.2948,0.08,0.1053,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,1,102.8,0.52,15.51,4.166,33.424,24.647,8.26,8.52,8.12,104.75,83.83,0.706,0.44,0.1676,0.02,0.1017,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,2,104.2,0.71,15.49,4.164,33.423,24.65,8.26,8.54,8.13,105.01,83.96,0.699,0.46,0.1725,0.02,0.1016,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,3,106,0.49,15.39,4.156,33.425,24.673,8.26,8.6,8.14,105.45,84,0.698,0.56,0.1927,0.03,0.1018,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,4,107.7,0.75,15.31,4.149,33.433,24.696,8.26,8.65,8.16,105.93,83.89,0.703,0.62,0.2045,0.02,0.1013,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,5,109,0.71,15.29,4.147,33.432,24.699,8.26,8.68,8.16,106.33,83.89,0.703,0.63,0.2058,0.03,0.1018,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,6,110.5,0.69,15.18,4.137,33.437,24.729,8.27,8.7,8.18,106.26,84.02,0.697,0.68,0.2152,0.06,0.1042,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,7,112,0.67,15.14,4.133,33.438,24.738,8.27,8.69,8.18,106.12,84.29,0.683,0.77,0.2337,0.07,0.1046,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,8,113.5,0.68,15.06,4.127,33.444,24.76,8.27,8.72,8.2,106.27,84.41,0.678,0.9,0.2599,0.09,0.1064,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,9,114.9,0.74,14.91,4.115,33.465,24.809,8.28,8.73,8.22,106.05,84.2,0.688,1.15,0.309,0.08,0.1059,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,10,116.2,0.84,14.66,4.094,33.49,24.881,8.28,8.75,8.26,105.8,84.23,0.686,1.42,0.3645,0.06,0.1045,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,11,117.5,0.67,14.59,4.088,33.494,24.898,8.28,8.69,8.27,105.03,83.67,0.713,1.39,0.3578,0.07,0.1046,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,12,119.2,0.52,14.57,4.086,33.494,24.903,8.28,8.27,8.27,99.82,83.69,0.712,1.37,0.3533,0.08,0.1055,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,13,120.9,0.75,14.34,4.064,33.493,24.951,8.28,7.72,8.31,92.84,83.67,0.713,1.13,0.3055,0.13,0.1088,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,14,122,1.05,13.85,4.019,33.5,25.06,8.28,7.6,8.4,90.47,83.76,0.709,0.92,0.2637,0.25,0.1178,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,15,123.4,0.6,13.69,4.005,33.506,25.097,8.26,7.47,8.43,88.57,83.61,0.716,0.67,0.2146,0.31,0.1217,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,16,125,0.69,13.5,3.986,33.504,25.135,8.25,7.41,8.46,87.5,84.26,0.685,0.6,0.2003,0.32,0.1228,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,17,126.7,0.49,13.43,3.98,33.508,25.152,8.24,7.44,8.47,87.8,84.64,0.667,0.42,0.1634,0.36,0.1252,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:57:00,3602,1,18,128,0.26,13.42,3.98,33.509,25.154,8.23,7.55,8.47,89.04,84.78,0.661,0.41,0.1619,0.36,0.1254,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,1,106.6,0.52,15.18,4.14,33.461,24.746,8.27,8.71,8.18,106.49,83.13,0.741,0.29,0.1373,0.03,0.1021,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,2,108.3,0.65,15.14,4.136,33.46,24.755,8.27,8.72,8.18,106.53,84.81,0.659,0.31,0.1415,0.03,0.1023,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,3,109.8,0.67,15.11,4.133,33.46,24.761,8.27,8.72,8.19,106.39,85.09,0.646,0.35,0.1492,0.03,0.1022,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,4,111.4,0.61,15.09,4.131,33.459,24.765,8.27,8.72,8.19,106.39,85.06,0.647,0.4,0.1605,0.04,0.103,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,5,112.9,0.66,15.06,4.128,33.459,24.771,8.27,8.73,8.2,106.46,84.91,0.654,0.46,0.1725,0.04,0.1028,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,6,114.3,0.77,15.04,4.126,33.459,24.777,8.27,8.73,8.2,106.38,84.86,0.657,0.52,0.1849,0.03,0.1025,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,7,115.8,0.65,15.01,4.124,33.461,24.784,8.27,8.71,8.2,106.14,84.66,0.666,0.59,0.198,0.03,0.1022,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,8,117.3,0.66,14.93,4.117,33.466,24.806,8.28,8.72,8.22,106.03,84.76,0.661,0.66,0.2119,0.03,0.1021,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,9,123.2,0.17,14.75,4.102,33.481,24.856,8.28,8.72,8.25,105.7,84.7,0.664,0.86,0.2529,0.04,0.1026,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,10,125.6,0.15,14.72,4.099,33.484,24.865,8.28,8.71,8.25,105.49,84.62,0.668,0.88,0.2562,0.04,0.1025,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,11,131.39999,0.76,14.43,4.074,33.498,24.936,8.28,8.5,8.3,102.33,84.66,0.666,0.9,0.2593,0.06,0.104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,12,132.89999,0.64,14.34,4.065,33.5,24.956,8.28,8.42,8.31,101.24,84.76,0.662,0.92,0.2644,0.11,0.1079,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,13,134.3,0.77,14.26,4.057,33.501,24.976,8.28,8.35,8.33,100.19,84.9,0.655,1.11,0.3015,0.14,0.11,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,14,135.89999,0.54,14.22,4.054,33.503,24.985,8.27,8.22,8.33,98.52,84.78,0.661,1.24,0.3272,0.15,0.1105,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,15,137.5,0.84,14.11,4.044,33.503,25.007,8.27,8.13,8.35,97.33,84.91,0.654,1.08,0.2959,0.18,0.1126,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,16,138.7,0.78,13.99,4.032,33.505,25.035,8.26,8.08,8.37,96.42,84.89,0.655,0.99,0.277,0.21,0.1145,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,17,140.10001,0.73,13.89,4.024,33.506,25.055,8.26,8.09,8.39,96.32,85.54,0.625,0.84,0.2487,0.21,0.1145,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,18,141.3,0.82,13.74,4.009,33.507,25.088,8.26,8.16,8.42,96.88,86,0.603,0.78,0.2353,0.21,0.1147,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,19,142.89999,0.53,13.59,3.996,33.509,25.12,8.26,8.01,8.44,94.84,86.36,0.587,0.76,0.2319,0.21,0.1147,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,20,144.60001,0.74,13.49,3.987,33.51,25.14,8.25,7.43,8.46,87.79,87.02,0.556,0.59,0.1983,0.21,0.1145,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,21,146,0.72,13.33,3.972,33.507,25.171,8.25,7.18,8.49,84.6,87.37,0.54,0.6,0.1992,0.28,0.1194,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,22,147.39999,0.69,13.26,3.965,33.508,25.187,8.23,7.1,8.5,83.5,87.4,0.539,0.48,0.1767,0.32,0.1226,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,23,148.8,0.87,13.19,3.958,33.509,25.201,8.22,7.2,8.51,84.51,87.24,0.546,0.4,0.16,0.34,0.1241,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,24,150.10001,0.64,13.12,3.952,33.508,25.215,8.21,7.15,8.53,83.8,87.14,0.551,0.41,0.1611,0.32,0.1223,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,25,151.7,0.66,13.06,3.947,33.508,25.225,8.21,6.99,8.54,81.86,87.2,0.548,0.33,0.1456,0.3,0.1213,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,26,153.2,0.7,12.99,3.94,33.507,25.239,8.2,6.77,8.55,79.21,87.62,0.528,0.39,0.158,0.32,0.1227,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,27,154.5,0.8,12.91,3.932,33.507,25.255,8.2,6.59,8.56,76.96,87.64,0.528,0.36,0.1518,0.32,0.1223,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,28,155.60001,0.92,12.82,3.925,33.508,25.272,8.19,6.62,8.58,77.11,87.81,0.52,0.34,0.1481,0.32,0.1223,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:45:00,3603,1,29,157.60001,0.14,12.83,3.926,33.509,25.272,8.18,6.71,8.58,78.27,87.88,0.517,0.34,0.1481,0.32,0.1223,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:31:00,3604,1,1,111.9,0.97,14.83,4.105,33.454,24.818,8.29,8.8,8.23,106.74,3.03,15.676,0.12,0.1049,2.89,0.3037,0.01,10,5,5
Winter,Hyperion,3/14/2018,10:31:00,3604,1,2,113,0.78,14.81,4.106,33.478,24.841,8.29,8.84,8.24,107.17,50.55,3.665,0.12,0.1041,-0.07,0.0952,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:31:00,3604,1,3,114.7,0.49,14.78,4.104,33.484,24.852,8.29,8.85,8.24,107.36,56.22,2.517,0.12,0.1046,-0.11,0.0925,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:31:00,3604,1,4,116.4,0.72,14.76,4.103,33.484,24.855,8.29,8.87,8.24,107.48,81.3,0.835,0.13,0.1059,-0.09,0.0934,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:31:00,3604,1,5,117.7,0.83,14.76,4.102,33.485,24.857,8.29,8.86,8.24,107.41,86.22,0.593,0.14,0.1075,-0.1,0.0931,NaN,NaN,NaN,NaN
Winter,Hyperion,3/14/2018,10:31:00,3604,1,6,119.3,0.55,14.74,4.101,33.485,24.86,8.29,8.87,8.25,107.45,86.03,0.602,0.16,0.112,-0.1,0.0931,NaN,NaN,NaN,NaN
