Season,Agency,Date,Time,Station ID,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Summer,Hyperion,8/3/2017,8:18:00,3305,1,19,342.70001,0.68,14.92,4.1,33.323,24.698,8.34,8.15,8.23,98.96,83.08,0.741,2.86,0.5441,0.73,0.1171,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,20,344.10001,0.74,14.86,4.095,33.324,24.71,8.34,7.96,8.24,96.6,83.23,0.734,2.8,0.5348,0.74,0.1173,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,21,345.39999,0.73,14.71,4.081,33.321,24.74,8.34,7.76,8.26,93.83,83.19,0.736,2.75,0.5262,0.74,0.1179,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,22,347,0.59,14.37,4.048,33.315,24.808,8.34,7.65,8.32,91.95,83.5,0.721,2.72,0.5212,0.73,0.1167,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,23,348.5,0.77,14.1,4.023,33.315,24.865,8.34,7.61,8.36,90.87,83.56,0.718,3.17,0.5949,0.72,0.1164,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,24,349.79999,0.86,13.91,4.005,33.315,24.906,8.34,7.6,8.4,90.43,83.53,0.72,3.04,0.5745,0.69,0.1138,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,25,351,0.72,13.83,3.997,33.316,24.923,8.34,7.54,8.41,89.62,83.86,0.704,2.6,0.5019,0.67,0.1123,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,26,352.5,0.7,13.79,3.994,33.317,24.931,8.34,7.48,8.42,88.77,84.33,0.682,2.3,0.4523,0.67,0.1123,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,27,353.89999,0.71,13.71,3.987,33.318,24.948,8.34,7.39,8.43,87.55,84.46,0.676,2.22,0.4396,0.66,0.1119,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,28,355.29999,0.72,13.65,3.982,33.323,24.964,8.34,7.19,8.44,85.07,84.84,0.657,1.94,0.3935,0.67,0.1126,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,29,356.70001,0.73,13.63,3.981,33.33,24.974,8.33,6.9,8.45,81.67,85.29,0.636,1.69,0.3525,0.73,0.117,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,30,358.10001,0.69,13.59,3.979,33.343,24.992,8.33,6.68,8.45,78.99,85.74,0.615,1.51,0.3236,0.82,0.1235,0.04,97,10,10
Summer,Hyperion,8/3/2017,8:18:00,3305,1,31,359.5,0.74,13.51,3.972,33.354,25.017,8.32,6.48,8.47,76.48,86.08,0.6,1.18,0.2687,0.93,0.1311,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,32,360.89999,0.73,13.38,3.961,33.358,25.045,8.31,6.39,8.49,75.24,86.34,0.587,0.98,0.2363,0.97,0.1345,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,33,362.39999,0.62,13.23,3.946,33.356,25.075,8.3,6.36,8.51,74.62,86.84,0.564,0.9,0.2228,1.05,0.1403,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,34,364,0.71,13.18,3.942,33.356,25.085,8.29,6.11,8.52,71.7,87.21,0.547,0.73,0.1957,1.1,0.144,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,35,365.20001,0.85,13.14,3.938,33.357,25.094,8.29,5.85,8.53,68.6,87.49,0.535,0.7,0.1902,1.09,0.1434,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,36,366.39999,0.87,12.86,3.913,33.362,25.152,8.28,5.76,8.58,67.17,87.6,0.53,0.6,0.1744,1.13,0.1456,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,37,367.70001,0.7,12.71,3.898,33.358,25.18,8.28,5.7,8.61,66.15,87.62,0.529,0.49,0.1559,1.23,0.1533,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,38,369.20001,0.67,12.63,3.89,33.352,25.19,8.27,5.54,8.62,64.27,87.65,0.527,0.45,0.1491,1.34,0.161,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,39,370.70001,0.66,12.54,3.881,33.338,25.196,8.26,5.54,8.64,64.13,87.63,0.528,0.44,0.1476,1.4,0.1657,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,40,372.10001,0.74,12.39,3.865,33.325,25.216,8.25,5.72,8.67,66.02,87.6,0.53,0.41,0.1424,1.65,0.1838,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,41,373.60001,0.61,12.44,3.876,33.376,25.245,8.25,5.57,8.65,64.39,87.53,0.533,0.39,0.1402,1.38,0.164,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,42,375.20001,0.69,12.37,3.871,33.398,25.276,8.26,5.34,8.67,61.61,87.54,0.532,0.38,0.1391,1,0.1363,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,43,376.5,0.87,12.25,3.861,33.406,25.304,8.26,5.22,8.69,60.07,87.51,0.534,0.33,0.1296,1.04,0.1392,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,44,377.89999,0.65,12.16,3.854,33.419,25.332,8.25,5.13,8.7,58.99,87.61,0.529,0.3,0.1259,1.01,0.1374,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,45,379.39999,0.74,12.11,3.851,33.425,25.346,8.25,4.99,8.71,57.26,87.79,0.521,0.28,0.1223,0.99,0.1357,0.01,20,10,5
Summer,Hyperion,8/3/2017,8:18:00,3305,1,46,380.70001,0.73,12,3.841,33.435,25.375,8.25,4.89,8.73,55.96,87.85,0.518,0.29,0.1232,0.99,0.136,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,47,382.10001,0.71,11.85,3.829,33.446,25.411,8.24,4.84,8.76,55.24,87.69,0.525,0.27,0.1199,0.98,0.1349,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,48,383.60001,0.67,11.77,3.822,33.453,25.432,8.24,4.84,8.78,55.19,87.84,0.519,0.26,0.1194,0.96,0.1337,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,49,385,0.75,11.74,3.819,33.456,25.441,8.23,4.86,8.78,55.34,87.84,0.519,0.25,0.1173,0.95,0.1329,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,50,386.5,0.6,11.73,3.819,33.457,25.442,8.23,4.86,8.78,55.33,87.82,0.52,0.24,0.1162,0.95,0.133,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,51,388.20001,0.63,11.72,3.818,33.458,25.445,8.23,4.85,8.78,55.26,87.76,0.522,0.24,0.115,0.95,0.1327,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,52,389.60001,0.77,11.7,3.817,33.46,25.45,8.23,4.79,8.79,54.53,87.74,0.523,0.24,0.1147,0.93,0.1313,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,53,391,0.73,11.66,3.813,33.464,25.461,8.23,4.72,8.79,53.63,87.65,0.527,0.23,0.1136,0.94,0.1318,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,54,392.39999,0.74,11.58,3.807,33.471,25.481,8.23,4.7,8.81,53.33,87.62,0.529,0.23,0.1135,0.91,0.1297,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,55,393.60001,0.85,11.53,3.803,33.475,25.493,8.23,4.68,8.82,53.11,87.58,0.53,0.22,0.1127,0.91,0.1299,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,56,395.60001,0.37,11.49,3.799,33.48,25.505,8.23,4.58,8.83,51.85,87.09,0.553,0.22,0.1119,0.9,0.1295,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,57,398.10001,0.48,11.42,3.794,33.489,25.525,8.23,4.43,8.84,50.12,86.88,0.562,0.22,0.1115,0.9,0.1291,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,58,401,0.26,11.34,3.788,33.5,25.547,8.22,4.44,8.85,50.14,86.21,0.593,0.21,0.1104,0.9,0.1289,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,8:18:00,3305,1,59,403.39999,0.1,11.33,3.787,33.5,25.549,8.22,4.48,8.85,50.58,85.54,0.625,0.2,0.1083,0.89,0.1284,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,1,100.4,0.6,22.22,4.826,33.493,23.013,8.3,8.26,7.15,115.25,80.9,0.848,0.65,0.1822,0.15,0.0748,0.01,5,5,5
Summer,Hyperion,8/3/2017,11:14:00,3306,1,2,101.9,0.68,22.01,4.804,33.487,23.065,8.3,8.4,7.18,116.72,80.97,0.845,0.69,0.1883,0.14,0.0742,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,3,103.3,0.75,21.7,4.775,33.491,23.154,8.31,8.52,7.22,117.78,80.98,0.844,0.76,0.1999,0.15,0.0752,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,4,104.8,0.64,21.57,4.762,33.491,23.191,8.32,8.6,7.24,118.6,81.03,0.841,0.87,0.2192,0.18,0.0772,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,5,106.3,0.66,21.51,4.756,33.491,23.208,8.32,8.56,7.24,117.85,81.01,0.842,1.04,0.2463,0.2,0.0784,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,6,107.8,0.71,21.34,4.738,33.484,23.248,8.33,8.57,7.27,117.73,80.89,0.848,1.42,0.3083,0.22,0.0802,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,7,109.1,0.81,20.86,4.688,33.462,23.361,8.34,8.66,7.33,117.94,80.57,0.864,1.91,0.3895,0.24,0.0815,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,8,110.4,0.75,19.78,4.577,33.42,23.615,8.34,8.66,7.48,115.49,79.6,0.913,2.67,0.5139,0.27,0.0833,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,9,111.8,0.67,18.85,4.484,33.396,23.834,8.34,8.67,7.61,113.69,78.16,0.985,3.28,0.6145,0.32,0.0874,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,10,113.2,0.73,17.92,4.391,33.369,24.043,8.34,8.65,7.75,111.47,77.29,1.031,3.29,0.6158,0.3,0.086,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,11,114.7,0.68,17.53,4.352,33.36,24.13,8.34,8.61,7.81,110.12,77.61,1.014,3.15,0.5919,0.31,0.0865,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,12,116.1,0.76,16.9,4.291,33.345,24.268,8.34,8.61,7.91,108.81,79.09,0.938,3.01,0.57,0.31,0.0867,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,13,117.6,0.61,16.5,4.252,33.336,24.353,8.34,8.6,7.97,107.8,80.27,0.879,2.95,0.559,0.31,0.0868,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,14,119.1,0.73,16.24,4.226,33.328,24.407,8.35,8.56,8.01,106.75,81.19,0.833,3.02,0.5716,0.32,0.0872,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,15,120.3,0.94,15.88,4.191,33.325,24.487,8.35,8.56,8.07,105.93,81.61,0.813,2.94,0.5584,0.32,0.0875,0.01,5,5,5
Summer,Hyperion,8/3/2017,11:14:00,3306,1,16,121.7,0.61,15.67,4.171,33.321,24.53,8.35,8.48,8.1,104.55,82.14,0.787,2.8,0.535,0.32,0.0874,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,17,123.3,0.65,15.48,4.153,33.319,24.571,8.36,8.38,8.13,102.92,82.76,0.757,2.9,0.5511,0.33,0.0882,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,18,124.7,0.79,15.32,4.138,33.317,24.606,8.36,8.22,8.16,100.63,82.89,0.75,2.99,0.5656,0.34,0.0887,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,19,126,0.74,15.09,4.115,33.314,24.654,8.36,8.12,8.2,98.94,83.26,0.733,3.11,0.5852,0.36,0.09,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,20,127.6,0.59,14.76,4.084,33.31,24.723,8.36,7.88,8.25,95.45,83.41,0.725,3.29,0.6151,0.38,0.0918,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,21,129.10001,0.75,14.54,4.064,33.31,24.768,8.36,7.6,8.29,91.59,83.54,0.719,3.47,0.6455,0.39,0.0925,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,22,130.3,0.99,14.35,4.047,33.322,24.817,8.36,7.56,8.32,90.82,83.65,0.714,3.53,0.6546,0.51,0.1008,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,23,131.39999,0.83,14.25,4.038,33.327,24.844,8.35,7.55,8.34,90.45,83.6,0.717,3.11,0.5865,0.56,0.1049,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,24,133,0.53,14.2,4.034,33.328,24.854,8.34,7.54,8.35,90.27,83.96,0.699,2.72,0.5218,0.57,0.1052,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,25,134.7,0.7,14.13,4.027,33.326,24.867,8.34,7.47,8.36,89.3,84.49,0.674,2.57,0.4968,0.57,0.1055,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,26,135.89999,0.92,14,4.015,33.321,24.89,8.34,7.23,8.38,86.23,84.7,0.664,2.34,0.4598,0.52,0.1015,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,27,137.2,0.68,13.83,3.998,33.322,24.927,8.34,6.9,8.41,81.96,85.38,0.632,2.22,0.4404,0.49,0.0995,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,28,138.7,0.68,13.68,3.986,33.336,24.969,8.34,6.62,8.44,78.43,85.97,0.605,1.59,0.3362,0.56,0.1043,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,29,140.10001,0.75,13.52,3.973,33.353,25.014,8.33,6.48,8.46,76.48,86.62,0.575,1.04,0.2472,0.71,0.1152,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,30,141.39999,0.83,13.37,3.959,33.354,25.045,8.32,6.36,8.49,74.93,87.45,0.537,0.89,0.2211,0.77,0.1201,0.02,63,10,10
Summer,Hyperion,8/3/2017,11:14:00,3306,1,31,142.8,0.63,13.21,3.945,33.354,25.077,8.31,6.27,8.52,73.54,87.94,0.514,0.77,0.2021,0.8,0.1223,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,32,144.3,0.72,13,3.925,33.352,25.117,8.31,6.21,8.55,72.61,88.08,0.508,0.67,0.1866,0.84,0.125,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,33,145.7,0.76,12.9,3.916,33.363,25.146,8.3,6.13,8.57,71.48,88.27,0.499,0.62,0.1775,0.8,0.1218,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,34,146.89999,0.89,12.84,3.911,33.366,25.161,8.3,6.07,8.58,70.68,88.36,0.495,0.6,0.174,0.78,0.1209,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,35,148.2,0.67,12.73,3.903,33.379,25.191,8.3,6.03,8.6,70.07,88.46,0.49,0.54,0.1653,0.73,0.1168,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,36,149.8,0.65,12.68,3.898,33.381,25.202,8.3,5.97,8.61,69.27,88.52,0.488,0.5,0.1581,0.73,0.1168,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,37,151.2,0.81,12.64,3.895,33.386,25.214,8.29,5.86,8.62,67.98,88.53,0.487,0.48,0.1539,0.72,0.1164,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,38,152.39999,0.83,12.59,3.89,33.39,25.228,8.29,5.77,8.63,66.83,88.51,0.488,0.48,0.1549,0.68,0.113,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,39,153.8,0.64,12.51,3.884,33.396,25.247,8.29,5.65,8.64,65.35,88.44,0.491,0.45,0.1494,0.68,0.1134,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,40,155.3,0.68,12.42,3.877,33.403,25.269,8.29,5.48,8.66,63.31,88.49,0.489,0.41,0.1433,0.69,0.114,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,41,156.8,0.65,12.31,3.866,33.408,25.295,8.29,5.42,8.68,62.42,88.46,0.49,0.42,0.1445,0.72,0.116,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,42,159.60001,0.27,12.19,3.857,33.42,25.327,8.28,5.34,8.7,61.41,88.36,0.495,0.39,0.1393,0.74,0.1174,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,43,162.3,0.81,12.15,3.854,33.424,25.339,8.27,5.28,8.71,60.59,88.41,0.493,0.35,0.1331,0.74,0.1175,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,44,163.39999,0.86,12.08,3.848,33.429,25.355,8.27,5.24,8.72,60.14,88.38,0.494,0.34,0.1323,0.73,0.1166,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,45,164.7,0.73,12.06,3.846,33.429,25.358,8.27,5.23,8.72,60,88.31,0.497,0.35,0.1339,0.71,0.1156,0.01,5,5,5
Summer,Hyperion,8/3/2017,11:14:00,3306,1,46,166.10001,0.76,11.92,3.834,33.436,25.39,8.27,5.36,8.75,61.24,88.3,0.498,0.34,0.1323,0.68,0.113,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,47,167.60001,0.61,11.74,3.817,33.432,25.421,8.27,5.41,8.78,61.59,88.29,0.498,0.4,0.1409,0.63,0.1097,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,48,169.3,0.56,11.71,3.814,33.429,25.426,8.28,5.41,8.79,61.53,88.46,0.491,0.41,0.1428,0.56,0.1047,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,49,171,0.7,11.7,3.813,33.429,25.427,8.28,5.42,8.79,61.68,88.62,0.483,0.41,0.1439,0.55,0.104,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,50,172.39999,0.74,11.69,3.812,33.429,25.428,8.28,5.39,8.79,61.29,88.71,0.479,0.41,0.1437,0.55,0.1037,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,51,173.7,0.79,11.68,3.811,33.429,25.431,8.29,5.33,8.79,60.67,88.81,0.475,0.42,0.1443,0.54,0.1034,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,52,175,0.74,11.61,3.805,33.434,25.447,8.29,5.3,8.81,60.19,88.77,0.476,0.43,0.146,0.54,0.1031,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,53,176.39999,0.68,11.57,3.802,33.439,25.457,8.29,5.26,8.81,59.64,88.83,0.474,0.43,0.1462,0.54,0.1029,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,54,177.89999,0.67,11.54,3.799,33.442,25.467,8.29,5.16,8.82,58.46,88.76,0.477,0.4,0.1414,0.54,0.1033,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,55,179.3,0.82,11.48,3.795,33.449,25.482,8.29,5.06,8.83,57.26,88.75,0.477,0.38,0.138,0.55,0.104,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,56,180.60001,0.68,11.4,3.789,33.46,25.505,8.28,4.91,8.84,55.55,88.68,0.481,0.37,0.1364,0.53,0.1023,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,57,182.2,0.67,11.23,3.775,33.484,25.556,8.28,4.83,8.88,54.39,88.71,0.479,0.33,0.1299,0.48,0.0991,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,58,183.60001,0.71,11.14,3.769,33.502,25.585,8.28,4.82,8.89,54.27,88.78,0.476,0.3,0.1246,0.47,0.0977,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,59,185.10001,0.63,11.12,3.768,33.505,25.591,8.28,4.82,8.9,54.23,89,0.466,0.3,0.1245,0.46,0.0976,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,60,186.8,0.59,11.12,3.767,33.507,25.593,8.27,4.82,8.9,54.14,89.34,0.451,0.28,0.1225,0.47,0.0979,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,61,188.39999,0.7,11.11,3.767,33.508,25.596,8.27,4.77,8.9,53.64,89.43,0.447,0.28,0.1217,0.46,0.0974,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,62,189.60001,0.92,11.09,3.765,33.512,25.603,8.27,4.75,8.9,53.38,89.38,0.449,0.28,0.1212,0.46,0.0976,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,63,190.8,0.8,11.06,3.763,33.518,25.613,8.27,4.74,8.91,53.22,89.46,0.446,0.27,0.1206,0.46,0.0973,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,64,192.10001,0.73,11.02,3.761,33.521,25.621,8.27,4.72,8.91,52.93,89.47,0.445,0.27,0.1204,0.46,0.0974,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,65,193.39999,0.78,11.02,3.76,33.522,25.624,8.27,4.72,8.91,52.95,89.5,0.444,0.26,0.1184,0.46,0.0975,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,66,195.10001,0.52,10.99,3.758,33.525,25.63,8.27,4.7,8.92,52.75,89.49,0.444,0.26,0.1178,0.46,0.0975,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,67,196.89999,0.66,10.97,3.757,33.526,25.634,8.27,4.68,8.92,52.45,89.55,0.441,0.25,0.1171,0.47,0.0979,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,68,198.2,0.78,10.95,3.755,33.527,25.639,8.26,4.62,8.93,51.77,89.46,0.446,0.25,0.1164,0.47,0.0983,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,69,199.60001,0.62,10.91,3.751,33.532,25.651,8.26,4.57,8.94,51.18,89.39,0.449,0.24,0.1153,0.47,0.098,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,70,201.5,0.49,10.88,3.749,33.537,25.66,8.26,4.54,8.94,50.78,89.34,0.451,0.21,0.1104,0.48,0.0989,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,71,203.5,0.6,10.86,3.748,33.54,25.665,8.26,4.51,8.94,50.46,89.53,0.443,0.2,0.1092,0.48,0.0987,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,11:14:00,3306,1,72,205.3,0.38,10.81,3.744,33.547,25.68,8.26,4.54,8.95,50.68,89.7,0.435,0.2,0.1082,0.5,0.0999,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,1,120.1,0.26,23.16,4.914,33.454,22.717,8.26,8.19,7.04,116.12,69.72,1.443,2.74,0.5245,0.67,0.1127,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,2,122.6,0.74,22.93,4.892,33.459,22.785,8.26,8.35,7.06,118,69.85,1.435,2.92,0.5553,0.65,0.1113,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,3,124,0.7,22.73,4.873,33.466,22.846,8.28,8.45,7.09,118.96,69.36,1.463,3.65,0.6736,0.59,0.1067,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,4,125.5,0.61,22.37,4.835,33.453,22.941,8.29,8.48,7.14,118.55,69.28,1.468,4.54,0.8203,0.62,0.1092,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,5,127.1,0.62,21.86,4.785,33.451,23.079,8.29,8.36,7.2,115.85,69.77,1.44,5.53,0.9819,0.63,0.1099,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,6,129.2,0.42,21.31,4.73,33.443,23.226,8.3,8.19,7.27,112.39,71.62,1.335,4.42,0.8006,0.64,0.1104,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,7,132.7,0.22,20.62,4.661,33.434,23.405,8.29,8.12,7.37,110.02,74.52,1.176,3.97,0.7262,0.71,0.1155,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:32:00,3201,1,8,136.10001,0.28,19.2,4.519,33.401,23.747,8.3,8.28,7.56,109.33,74.34,1.186,4.84,0.8695,0.78,0.1205,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:43:00,3202,1,1,120.2,0.53,22.3,4.833,33.49,22.988,8.31,8.35,7.14,116.61,76.01,1.097,1.31,0.2913,0.48,0.0986,NaN,NaN,NaN,NaN
Summer,Hyperion,8/3/2017,9:43:00,3202,1,2,121.8,0.62,22.28,4.83,33.483,22.989,8.31,8.39,7.15,117.09,76.01,1.097,1.28,0.2864,0.47,0.0984,NaN,NaN,NaN,NaN
