Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
9795,Winter,OCSD,02/02/2016,08:06,2106,1,61.0,122.1,1.14,13.99,4.034,33.497,25.029,8.01,5.89,8.37,70.30,87.61,0.529,0.36,0.0774,0.25,0.0244,5.82,0.4254,0.66,0.0208,,,1589.1,0.5,0.0,0.07,0.014,,,,,,,,,,,
9796,Winter,OCSD,02/02/2016,08:06,2106,1,62.0,123.3,0.68,13.92,4.027,33.496,25.043,8.00,5.87,8.39,69.97,87.67,0.526,0.35,0.0767,0.18,0.0195,5.80,0.4224,0.62,0.0202,,,1612.0,0.5,0.0,0.01,0.002,,,,,,,,,,,
9797,Winter,OCSD,02/02/2016,08:06,2106,1,63.0,124.8,0.80,13.91,4.026,33.495,25.045,7.99,5.83,8.39,69.44,87.80,0.520,0.34,0.0762,0.20,0.0215,5.81,0.4235,0.58,0.0195,,,1603.4,0.4,0.0,0.04,0.007,,,,,,,,,,,
9798,Winter,OCSD,02/02/2016,08:06,2106,1,64.0,126.3,0.58,13.87,4.023,33.495,25.052,7.99,5.76,8.39,68.59,87.84,0.519,0.33,0.0750,0.19,0.0206,5.84,0.4251,0.59,0.0198,,,1605.2,0.4,0.0,0.03,0.007,,,,,,,,,,,
9799,Winter,OCSD,02/02/2016,08:06,2106,1,65.0,127.9,0.66,13.84,4.020,33.495,25.059,7.98,5.58,8.40,66.40,87.87,0.517,0.30,0.0734,0.13,0.0181,5.84,0.4248,0.61,0.0201,,,1633.1,0.4,0.0,0.06,0.011,,,,,,,,,,,
9800,Winter,OCSD,02/02/2016,08:06,2106,1,66.0,129.1,1.12,13.78,4.014,33.493,25.070,7.98,5.49,8.41,65.22,87.90,0.516,0.27,0.0709,0.12,0.0181,5.90,0.4287,0.60,0.0196,,,1552.6,0.3,0.0,0.19,0.034,,,,,,,,,,,
9801,Winter,OCSD,02/02/2016,08:06,2106,1,67.0,130.0,1.11,13.59,3.996,33.487,25.104,7.98,5.45,8.44,64.54,88.00,0.511,0.25,0.0688,0.12,0.0181,5.91,0.4285,0.62,0.0201,,,1566.8,0.3,0.0,0.21,0.043,,,,,,,,,,,
9802,Winter,OCSD,02/02/2016,08:06,2106,1,68.0,131.4,0.58,13.38,3.976,33.487,25.147,7.97,5.37,8.48,63.25,88.01,0.511,0.22,0.0670,0.08,0.0159,5.95,0.4299,0.66,0.0208,,,1685.0,0.3,0.0,0.11,0.020,,,,,,,,,,,
9803,Winter,OCSD,02/02/2016,08:06,2106,1,69.0,133.0,0.69,13.27,3.965,33.483,25.167,7.96,5.19,8.50,61.06,88.12,0.506,0.20,0.0653,0.05,0.0153,5.95,0.4303,0.65,0.0204,,,1566.4,0.2,0.0,0.11,0.024,,,,,,,,,,,
9804,Winter,OCSD,02/02/2016,08:06,2106,1,70.0,134.4,0.74,13.16,3.956,33.488,25.191,7.95,5.10,8.52,59.82,88.26,0.500,0.18,0.0633,0.01,0.0134,5.97,0.4319,0.65,0.0202,,,1623.0,0.2,0.0,0.13,0.036,,,,,,,,,,,
9805,Winter,OCSD,02/02/2016,08:06,2106,1,71.0,135.8,0.77,13.03,3.945,33.501,25.227,7.94,5.08,8.54,59.40,88.31,0.497,0.16,0.0621,-0.03,0.0118,5.99,0.4321,0.68,0.0208,,,1611.2,0.2,0.0,0.02,0.008,,,,,,,,,,,
9806,Winter,OCSD,02/02/2016,08:06,2106,1,72.0,136.9,0.95,13.01,3.943,33.505,25.235,7.93,5.05,8.55,59.13,88.38,0.494,0.15,0.0617,-0.05,0.0108,6.03,0.4352,0.70,0.0207,,,1578.1,0.2,0.0,0.03,0.010,,,,,,,,,,,
9807,Winter,OCSD,02/02/2016,08:06,2106,1,73.0,138.1,0.74,12.98,3.941,33.511,25.245,7.92,5.02,8.55,58.69,88.48,0.490,0.14,0.0605,-0.06,0.0108,6.02,0.4330,0.72,0.0218,,,1648.4,0.2,0.0,0.01,0.004,,,,,,,,,,,
9808,Winter,OCSD,02/02/2016,08:06,2106,1,74.0,139.7,0.61,12.97,3.940,33.513,25.249,7.91,4.94,8.55,57.79,88.63,0.483,0.13,0.0603,-0.05,0.0109,6.06,0.4358,0.68,0.0202,,,1599.7,0.1,0.0,0.04,0.011,,,,,,,,,,,
9809,Winter,OCSD,02/02/2016,08:06,2106,1,75.0,141.2,0.75,12.93,3.937,33.517,25.260,7.91,4.91,8.56,57.40,88.70,0.480,0.13,0.0597,-0.05,0.0110,6.10,0.4375,0.73,0.0213,,,1614.4,0.1,0.0,0.12,0.029,,,,,,,,,,,
9810,Winter,OCSD,02/02/2016,08:06,2106,1,76.0,143.0,0.47,12.81,3.927,33.525,25.289,7.90,4.99,8.58,58.19,88.72,0.479,0.12,0.0589,-0.08,0.0098,6.09,0.4375,0.77,0.0220,,,1608.9,0.1,0.0,0.05,0.006,,,,,,,,,,,
9811,Winter,OCSD,02/02/2016,08:06,2106,1,77.0,144.4,0.23,12.76,3.922,33.520,25.295,7.90,5.11,8.59,59.49,88.71,0.479,0.13,0.0595,-0.09,0.0095,6.08,0.4355,0.74,0.0210,,,1593.1,0.1,0.0,,,,,,,,,,,,,
9812,Winter,OCSD,02/02/2016,07:57,2106,2,1.0,213.6,0.42,15.12,4.143,33.542,24.822,8.06,7.19,8.18,87.76,85.21,0.640,0.81,0.1116,0.47,0.0320,5.56,0.4124,0.36,0.0176,,,1536.1,576.4,37.5,0.00,-0.001,,,,,,,,,,,
9813,Winter,OCSD,02/02/2016,07:57,2106,2,2.0,215.8,0.49,15.12,4.143,33.542,24.821,8.06,7.21,8.18,88.03,85.20,0.641,0.88,0.1170,0.51,0.0335,5.55,0.4106,0.33,0.0170,,,1559.1,428.0,27.5,-0.01,-0.001,,,,,,,,,,,
9814,Winter,OCSD,02/02/2016,07:57,2106,2,3.0,217.6,0.70,15.13,4.144,33.542,24.820,8.06,7.21,8.18,88.07,85.49,0.627,0.99,0.1254,0.56,0.0351,5.54,0.4113,0.37,0.0181,,,1509.6,326.2,21.6,0.00,0.000,,,,,,,,,,,
9815,Winter,OCSD,02/02/2016,07:57,2106,2,4.0,218.8,1.09,15.13,4.144,33.542,24.820,8.06,7.22,8.18,88.17,85.70,0.617,1.06,0.1313,0.60,0.0369,5.49,0.4066,0.34,0.0184,,,1516.9,192.3,12.7,0.00,0.000,,,,,,,,,,,
9816,Winter,OCSD,02/02/2016,07:57,2106,2,5.0,220.0,0.66,15.13,4.144,33.542,24.820,8.06,7.19,8.18,87.87,85.82,0.612,1.13,0.1363,0.68,0.0403,5.53,0.4104,0.26,0.0158,,,1568.1,179.4,11.4,0.00,0.000,,,,,,,,,,,
9817,Winter,OCSD,02/02/2016,07:57,2106,2,6.0,221.6,0.62,15.13,4.144,33.542,24.820,8.06,7.20,8.18,87.88,85.87,0.609,1.18,0.1406,0.73,0.0426,5.53,0.4109,0.30,0.0168,,,1539.3,192.1,12.5,0.00,0.001,,,,,,,,,,,
9818,Winter,OCSD,02/02/2016,07:57,2106,2,7.0,223.0,0.91,15.13,4.144,33.542,24.821,8.06,7.22,8.18,88.14,85.88,0.609,1.21,0.1419,0.72,0.0415,5.50,0.4090,0.37,0.0185,,,1515.0,148.3,9.8,0.00,0.000,,,,,,,,,,,
9819,Winter,OCSD,02/02/2016,07:57,2106,2,8.0,224.0,0.97,15.13,4.144,33.542,24.821,8.06,7.22,8.18,88.20,85.86,0.610,1.24,0.1455,0.72,0.0415,5.48,0.4065,0.35,0.0183,,,1536.4,119.4,7.8,0.00,0.000,,,,,,,,,,,
9820,Winter,OCSD,02/02/2016,07:57,2106,2,9.0,225.4,0.62,15.13,4.144,33.542,24.821,8.06,7.21,8.18,88.04,85.90,0.608,1.27,0.1466,0.75,0.0431,5.46,0.4069,0.25,0.0160,,,1559.9,100.9,6.5,0.00,0.000,,,,,,,,,,,
9821,Winter,OCSD,02/02/2016,07:57,2106,2,10.0,227.0,0.69,15.13,4.144,33.542,24.821,8.06,7.18,8.18,87.73,85.93,0.607,1.28,0.1475,0.78,0.0448,5.47,0.4071,0.22,0.0158,,,1516.3,99.2,6.5,0.00,0.000,,,,,,,,,,,
9822,Winter,OCSD,02/02/2016,07:57,2106,2,11.0,228.1,1.09,15.13,4.144,33.542,24.821,8.06,7.20,8.18,87.94,85.94,0.606,1.28,0.1477,0.76,0.0431,5.50,0.4099,0.25,0.0166,,,1521.1,85.6,5.6,0.00,0.000,,,,,,,,,,,
9823,Winter,OCSD,02/02/2016,07:57,2106,2,12.0,229.1,0.94,15.13,4.144,33.542,24.821,8.06,7.22,8.18,88.20,85.96,0.605,1.29,0.1486,0.75,0.0427,5.52,0.4089,0.27,0.0170,,,1531.8,74.5,4.9,0.00,0.000,,,,,,,,,,,
9824,Winter,OCSD,02/02/2016,07:57,2106,2,13.0,230.5,0.63,15.13,4.144,33.542,24.821,8.06,7.22,8.18,88.20,85.94,0.606,1.30,0.1487,0.78,0.0441,5.56,0.4118,0.26,0.0163,,,1542.6,62.2,4.0,0.00,0.001,,,,,,,,,,,
9825,Winter,OCSD,02/02/2016,07:57,2106,2,14.0,231.9,0.82,15.13,4.144,33.542,24.822,8.06,7.22,8.18,88.15,85.95,0.606,1.30,0.1501,0.81,0.0460,5.57,0.4135,0.31,0.0172,,,1525.8,59.8,3.9,0.01,0.000,,,,,,,,,,,
9826,Winter,OCSD,02/02/2016,07:57,2106,2,15.0,233.2,0.73,15.12,4.144,33.543,24.822,8.07,7.22,8.18,88.17,85.93,0.606,1.28,0.1477,0.80,0.0446,5.50,0.4082,0.32,0.0177,,,1554.7,56.6,3.6,-0.01,-0.001,,,,,,,,,,,
9827,Winter,OCSD,02/02/2016,07:57,2106,2,16.0,234.8,0.60,15.13,4.144,33.542,24.821,8.07,7.21,8.18,88.09,85.93,0.606,1.26,0.1460,0.81,0.0456,5.48,0.4071,0.26,0.0161,,,1529.4,47.9,3.1,0.00,0.000,,,,,,,,,,,
9828,Winter,OCSD,02/02/2016,07:57,2106,2,17.0,236.1,0.95,15.13,4.145,33.543,24.821,8.07,7.22,8.18,88.24,85.94,0.606,1.25,0.1452,0.81,0.0452,5.50,0.4099,0.26,0.0170,,,1511.2,41.1,2.7,0.00,0.000,,,,,,,,,,,
9829,Winter,OCSD,02/02/2016,07:57,2106,2,18.0,237.1,1.07,15.13,4.145,33.543,24.821,8.07,7.23,8.18,88.29,85.96,0.605,1.24,0.1442,0.80,0.0451,5.49,0.4070,0.27,0.0158,,,1509.5,35.8,2.4,0.00,-0.001,,,,,,,,,,,
9830,Winter,OCSD,02/02/2016,07:57,2106,2,19.0,238.1,0.92,15.13,4.145,33.543,24.820,8.07,7.22,8.18,88.13,85.98,0.604,1.24,0.1448,0.81,0.0452,5.54,0.4121,0.31,0.0180,,,1554.0,32.1,2.1,0.00,0.000,,,,,,,,,,,
9831,Winter,OCSD,02/02/2016,07:57,2106,2,20.0,239.8,0.47,15.13,4.145,33.542,24.820,8.07,7.20,8.18,88.00,85.96,0.605,1.25,0.1458,0.83,0.0464,5.46,0.4064,0.29,0.0170,,,1544.9,29.5,1.9,0.00,0.001,,,,,,,,,,,
9832,Winter,OCSD,02/02/2016,07:57,2106,2,21.0,241.5,1.01,15.13,4.145,33.543,24.821,8.07,7.21,8.18,88.05,85.94,0.606,1.21,0.1423,0.85,0.0475,5.47,0.4076,0.23,0.0157,,,1502.8,27.1,1.8,0.00,0.000,,,,,,,,,,,
9833,Winter,OCSD,02/02/2016,07:57,2106,2,22.0,242.4,1.06,15.13,4.145,33.542,24.821,8.07,7.23,8.18,88.27,85.97,0.605,1.20,0.1406,0.84,0.0465,5.50,0.4089,0.22,0.0157,,,1513.7,24.1,1.6,0.00,0.000,,,,,,,,,,,
9834,Winter,OCSD,02/02/2016,07:57,2106,2,23.0,243.5,0.80,15.13,4.145,33.542,24.821,8.07,7.22,8.18,88.19,85.95,0.606,1.20,0.1417,0.85,0.0464,5.49,0.4078,0.28,0.0165,,,1540.1,21.3,1.4,0.00,0.000,,,,,,,,,,,
9835,Winter,OCSD,02/02/2016,07:57,2106,2,24.0,245.0,0.59,15.13,4.145,33.542,24.821,8.07,7.21,8.18,88.11,85.96,0.605,1.20,0.1416,0.90,0.0492,5.46,0.4063,0.36,0.0181,,,1541.2,18.5,1.2,0.00,0.000,,,,,,,,,,,
9836,Winter,OCSD,02/02/2016,07:57,2106,2,25.0,246.6,0.68,15.13,4.145,33.542,24.821,8.07,7.22,8.18,88.18,85.98,0.604,1.20,0.1413,0.92,0.0500,5.48,0.4086,0.33,0.0173,,,1529.1,17.0,1.1,0.00,-0.001,,,,,,,,,,,
9837,Winter,OCSD,02/02/2016,07:57,2106,2,26.0,247.9,0.93,15.13,4.145,33.542,24.820,8.07,7.21,8.18,88.01,85.99,0.604,1.19,0.1404,0.90,0.0488,5.44,0.4053,0.29,0.0170,,,1524.2,15.7,1.0,0.00,0.000,,,,,,,,,,,
9838,Winter,OCSD,02/02/2016,07:57,2106,2,27.0,249.1,0.73,15.13,4.145,33.542,24.820,8.07,7.20,8.18,87.96,86.00,0.603,1.18,0.1402,0.92,0.0494,5.44,0.4051,0.26,0.0160,,,1515.5,13.9,0.9,0.00,0.001,,,,,,,,,,,
9839,Winter,OCSD,02/02/2016,07:57,2106,2,28.0,250.5,0.80,15.13,4.145,33.542,24.821,8.07,7.21,8.18,88.07,85.96,0.605,1.17,0.1390,0.94,0.0512,5.44,0.4069,0.30,0.0172,,,1520.0,12.1,0.8,0.00,0.001,,,,,,,,,,,
9840,Winter,OCSD,02/02/2016,07:57,2106,2,29.0,251.6,1.01,15.13,4.145,33.542,24.822,8.07,7.21,8.18,88.08,85.97,0.605,1.17,0.1392,0.89,0.0485,5.43,0.4037,0.31,0.0176,,,1523.6,10.8,0.7,0.01,0.001,,,,,,,,,,,
9841,Winter,OCSD,02/02/2016,07:57,2106,2,30.0,252.9,0.67,15.12,4.144,33.542,24.823,8.08,7.21,8.18,88.04,86.00,0.603,1.17,0.1396,0.88,0.0481,5.48,0.4085,0.30,0.0168,,,1543.0,9.7,0.6,0.00,0.000,,,,,,,,,,,
9842,Winter,OCSD,02/02/2016,07:57,2106,2,31.0,254.4,0.61,15.12,4.144,33.542,24.823,8.08,7.21,8.18,87.99,86.02,0.602,1.17,0.1395,0.90,0.0485,5.47,0.4066,0.33,0.0167,,,1520.3,9.2,0.6,0.01,0.001,,,,,,,,,,,
9843,Winter,OCSD,02/02/2016,07:57,2106,2,32.0,255.8,0.94,15.11,4.144,33.542,24.824,8.08,7.21,8.18,88.00,86.01,0.603,1.15,0.1376,0.97,0.0531,5.52,0.4107,0.41,0.0194,,,1507.3,8.3,0.6,-0.01,0.000,,,,,,,,,,,
9844,Winter,OCSD,02/02/2016,07:57,2106,2,33.0,256.8,1.01,15.12,4.144,33.542,24.824,8.08,7.20,8.18,87.90,85.95,0.606,1.15,0.1380,0.93,0.0499,5.53,0.4106,0.40,0.0184,,,1516.6,7.4,0.5,0.00,0.000,,,,,,,,,,,
9845,Winter,OCSD,02/02/2016,07:57,2106,2,34.0,258.6,0.44,15.12,4.144,33.542,24.824,8.08,7.20,8.18,87.91,85.90,0.608,1.16,0.1390,0.92,0.0499,5.49,0.4075,0.33,0.0170,,,1547.0,6.4,0.4,0.01,0.000,,,,,,,,,,,
9846,Winter,OCSD,02/02/2016,07:57,2106,2,35.0,260.4,0.84,15.11,4.144,33.542,24.824,8.08,7.20,8.18,87.87,85.91,0.607,1.15,0.1374,0.86,0.0468,5.47,0.4082,0.34,0.0170,,,1494.9,5.9,0.4,0.00,0.000,,,,,,,,,,,
9847,Winter,OCSD,02/02/2016,07:57,2106,2,36.0,261.3,1.21,15.11,4.144,33.542,24.824,8.08,7.20,8.18,87.87,85.91,0.607,1.15,0.1383,0.86,0.0474,5.44,0.4051,0.38,0.0172,,,1502.7,5.4,0.4,0.00,0.001,,,,,,,,,,,
9848,Winter,OCSD,02/02/2016,07:57,2106,2,37.0,262.2,1.09,15.11,4.144,33.542,24.825,8.08,7.19,8.18,87.83,85.87,0.609,1.15,0.1379,0.86,0.0464,5.45,0.4064,0.44,0.0196,,,1519.1,4.8,0.3,0.00,0.000,,,,,,,,,,,
9849,Winter,OCSD,02/02/2016,07:57,2106,2,38.0,263.4,0.73,15.11,4.144,33.542,24.825,8.08,7.18,8.18,87.63,85.88,0.609,1.15,0.1378,0.93,0.0506,5.47,0.4072,0.42,0.0183,,,1533.5,4.3,0.3,0.00,0.000,,,,,,,,,,,
9850,Winter,OCSD,02/02/2016,07:57,2106,2,39.0,264.8,0.68,15.11,4.143,33.542,24.825,8.08,7.17,8.18,87.50,85.88,0.609,1.13,0.1365,0.99,0.0530,5.49,0.4080,0.34,0.0173,,,1524.6,3.9,0.3,0.01,0.002,,,,,,,,,,,
9851,Winter,OCSD,02/02/2016,07:57,2106,2,40.0,266.7,0.47,15.10,4.142,33.541,24.827,8.08,7.17,8.19,87.55,85.83,0.611,1.11,0.1349,1.00,0.0530,5.50,0.4084,0.30,0.0167,,,1533.7,3.6,0.2,0.00,0.000,,,,,,,,,,,
9852,Winter,OCSD,02/02/2016,07:57,2106,2,41.0,268.4,1.11,15.10,4.143,33.541,24.827,8.08,7.19,8.18,87.71,85.81,0.612,1.11,0.1352,0.99,0.0537,5.49,0.4096,0.32,0.0169,,,1483.4,3.3,0.2,0.00,0.000,,,,,,,,,,,
9853,Winter,OCSD,02/02/2016,07:57,2106,2,42.0,269.1,1.33,15.10,4.143,33.541,24.827,8.08,7.18,8.19,87.65,85.79,0.613,1.11,0.1350,0.94,0.0517,5.48,0.4079,0.34,0.0172,,,1484.0,2.9,0.2,0.00,0.001,,,,,,,,,,,
9854,Winter,OCSD,02/02/2016,07:57,2106,2,43.0,270.2,0.77,15.10,4.142,33.541,24.828,8.08,7.17,8.19,87.58,85.77,0.614,1.11,0.1350,0.85,0.0457,5.49,0.4084,0.36,0.0180,,,1546.7,2.5,0.2,0.00,0.000,,,,,,,,,,,
9855,Winter,OCSD,02/02/2016,07:57,2106,2,44.0,272.0,0.46,15.10,4.143,33.541,24.828,8.08,7.14,8.19,87.19,85.74,0.615,1.11,0.1351,0.91,0.0494,5.48,0.4075,0.36,0.0174,,,1534.6,2.3,0.1,0.01,0.000,,,,,,,,,,,
9856,Winter,OCSD,02/02/2016,07:57,2106,2,45.0,273.8,0.68,15.09,4.142,33.541,24.828,8.08,7.15,8.19,87.25,85.77,0.614,1.10,0.1334,0.97,0.0529,5.46,0.4062,0.40,0.0182,,,1502.9,2.1,0.1,0.01,0.002,,,,,,,,,,,
9857,Winter,OCSD,02/02/2016,07:57,2106,2,46.0,275.0,1.24,15.08,4.141,33.541,24.830,8.08,7.14,8.19,87.10,85.75,0.615,1.10,0.1344,0.89,0.0482,5.50,0.4107,0.39,0.0182,,,1495.9,1.9,0.1,0.00,0.001,,,,,,,,,,,
9858,Winter,OCSD,02/02/2016,07:57,2106,2,47.0,275.8,1.23,15.08,4.141,33.541,24.831,8.08,7.12,8.19,86.91,85.78,0.614,1.10,0.1338,0.83,0.0460,5.48,0.4073,0.36,0.0176,,,1510.4,1.7,0.1,0.00,0.001,,,,,,,,,,,
9859,Winter,OCSD,02/02/2016,07:57,2106,2,48.0,277.3,0.51,15.08,4.141,33.540,24.832,8.08,7.07,8.19,86.29,85.75,0.615,1.08,0.1328,0.80,0.0451,5.48,0.4075,0.32,0.0168,,,1549.6,1.5,0.1,0.03,0.004,,,,,,,,,,,
9860,Winter,OCSD,02/02/2016,07:57,2106,2,49.0,278.9,0.97,15.05,4.138,33.539,24.836,8.08,7.00,8.19,85.36,85.74,0.616,1.04,0.1292,0.78,0.0440,5.52,0.4099,0.35,0.0168,,,1490.6,1.4,0.1,0.03,0.006,,,,,,,,,,,
9861,Winter,OCSD,02/02/2016,07:57,2106,2,50.0,280.0,0.84,15.02,4.135,33.538,24.842,8.07,6.76,8.20,82.38,85.75,0.615,1.00,0.1267,0.77,0.0435,5.56,0.4111,0.43,0.0192,,,1507.3,1.2,0.1,0.04,0.006,,,,,,,,,,,
9862,Winter,OCSD,02/02/2016,07:57,2106,2,51.0,281.5,0.57,14.98,4.132,33.536,24.848,8.07,6.26,8.20,76.21,85.71,0.617,0.84,0.1152,0.81,0.0463,5.65,0.4158,0.42,0.0183,,,1545.2,1.1,0.1,0.44,0.079,,,,,,,,,,,
9863,Winter,OCSD,02/02/2016,07:57,2106,2,52.0,283.1,0.76,14.54,4.087,33.515,24.927,8.06,6.11,8.28,73.75,85.71,0.617,0.57,0.0919,0.64,0.0394,5.76,0.4213,0.37,0.0171,,,1507.1,1.0,0.1,0.29,0.052,,,,,,,,,,,
9864,Winter,OCSD,02/02/2016,07:57,2106,2,53.0,284.7,0.54,14.25,4.059,33.503,24.979,8.04,6.00,8.33,72.02,85.88,0.609,0.46,0.0848,0.33,0.0254,5.85,0.4255,0.42,0.0178,,,1539.3,0.9,0.1,0.09,0.016,,,,,,,,,,,
9865,Winter,OCSD,02/02/2016,07:57,2106,2,54.0,286.3,0.83,14.16,4.049,33.497,24.995,8.02,5.88,8.35,70.40,86.80,0.566,0.40,0.0809,0.22,0.0217,5.91,0.4296,0.51,0.0195,,,1501.8,0.8,0.1,0.13,0.026,,,,,,,,,,,
9866,Winter,OCSD,02/02/2016,07:57,2106,2,55.0,287.3,1.31,14.03,4.037,33.495,25.021,8.01,5.87,8.37,70.12,87.05,0.555,0.37,0.0780,0.17,0.0195,5.92,0.4281,0.54,0.0195,,,1492.9,0.8,0.1,0.08,0.014,,,,,,,,,,,
9867,Winter,OCSD,02/02/2016,07:57,2106,2,56.0,288.0,1.32,13.95,4.030,33.494,25.035,8.00,5.86,8.38,69.89,87.37,0.540,0.35,0.0768,0.15,0.0189,5.94,0.4296,0.55,0.0195,,,1518.2,0.7,0.0,0.03,0.006,,,,,,,,,,,
9868,Winter,OCSD,02/02/2016,07:57,2106,2,57.0,289.1,0.73,13.92,4.026,33.492,25.041,7.99,5.86,8.39,69.78,87.81,0.520,0.33,0.0752,0.13,0.0184,5.95,0.4308,0.57,0.0195,,,1530.8,0.6,0.0,0.04,0.008,,,,,,,,,,,
9869,Winter,OCSD,02/02/2016,07:57,2106,2,58.0,290.9,0.48,13.88,4.023,33.492,25.049,7.98,5.84,8.39,69.57,88.03,0.510,0.32,0.0744,0.11,0.0172,5.99,0.4332,0.61,0.0200,,,1535.9,0.6,0.0,0.01,0.003,,,,,,,,,,,
9870,Winter,OCSD,02/02/2016,07:57,2106,2,59.0,293.0,0.48,13.87,4.022,33.493,25.052,7.98,5.83,8.40,69.38,88.12,0.506,0.32,0.0745,0.12,0.0177,5.96,0.4298,0.61,0.0203,,,1534.6,0.5,0.0,0.01,0.002,,,,,,,,,,,
9871,Winter,OCSD,02/02/2016,07:57,2106,2,60.0,294.6,0.99,13.86,4.022,33.494,25.054,7.97,5.80,8.40,69.07,88.14,0.505,0.31,0.0739,0.11,0.0175,5.98,0.4332,0.56,0.0186,,,1478.7,0.5,0.0,0.01,0.002,,,,,,,,,,,
9872,Winter,OCSD,02/02/2016,07:57,2106,2,61.0,295.5,1.26,13.85,4.021,33.495,25.056,7.97,5.79,8.40,68.89,88.16,0.504,0.32,0.0743,0.09,0.0164,6.01,0.4323,0.59,0.0198,,,1509.1,0.4,0.0,0.00,0.002,,,,,,,,,,,
9873,Winter,OCSD,02/02/2016,07:57,2106,2,62.0,296.3,1.12,13.85,4.020,33.495,25.058,7.97,5.77,8.40,68.67,88.15,0.505,0.31,0.0741,0.09,0.0162,6.03,0.4362,0.63,0.0206,,,1543.0,0.4,0.0,0.03,0.005,,,,,,,,,,,
9874,Winter,OCSD,02/02/2016,07:57,2106,2,63.0,297.5,0.71,13.82,4.018,33.495,25.063,7.97,5.75,8.40,68.40,88.16,0.504,0.31,0.0739,0.12,0.0179,5.99,0.4315,0.63,0.0204,,,1516.0,0.4,0.0,0.03,0.006,,,,,,,,,,,
9875,Winter,OCSD,02/02/2016,07:57,2106,2,64.0,299.0,0.63,13.79,4.015,33.494,25.069,7.97,5.70,8.41,67.72,88.15,0.505,0.30,0.0730,0.14,0.0185,6.01,0.4341,0.61,0.0203,,,1534.8,0.3,0.0,0.03,0.006,,,,,,,,,,,
9876,Winter,OCSD,02/02/2016,07:57,2106,2,65.0,300.6,0.67,13.76,4.012,33.494,25.075,7.97,5.57,8.41,66.21,88.17,0.504,0.29,0.0726,0.14,0.0189,5.98,0.4306,0.59,0.0195,,,1528.0,0.3,0.0,0.11,0.022,,,,,,,,,,,
9877,Winter,OCSD,02/02/2016,07:57,2106,2,66.0,302.1,0.68,13.65,4.001,33.493,25.097,7.96,5.42,8.43,64.23,88.18,0.503,0.27,0.0711,0.12,0.0178,6.02,0.4341,0.61,0.0195,,,1510.0,0.3,0.0,0.24,0.045,,,,,,,,,,,
9878,Winter,OCSD,02/02/2016,07:57,2106,2,67.0,303.6,0.67,13.41,3.979,33.488,25.142,7.96,5.32,8.48,62.75,88.16,0.504,0.24,0.0680,0.10,0.0170,6.09,0.4377,0.69,0.0215,,,1522.1,0.2,0.0,0.17,0.030,,,,,,,,,,,
9879,Winter,OCSD,02/02/2016,07:57,2106,2,68.0,304.9,0.89,13.24,3.963,33.484,25.172,7.95,5.20,8.50,61.08,88.19,0.503,0.21,0.0660,0.07,0.0156,6.11,0.4381,0.72,0.0209,,,1502.7,0.2,0.0,0.06,0.013,,,,,,,,,,,
9880,Winter,OCSD,02/02/2016,07:57,2106,2,69.0,306.0,0.92,13.18,3.957,33.484,25.185,7.94,5.12,8.52,60.11,88.23,0.501,0.19,0.0642,0.04,0.0147,6.13,0.4392,0.74,0.0217,,,1523.1,0.2,0.0,0.14,0.039,,,,,,,,,,,
9881,Winter,OCSD,02/02/2016,07:57,2106,2,70.0,307.3,0.68,13.04,3.946,33.499,25.224,7.93,5.07,8.54,59.33,88.32,0.497,0.17,0.0630,0.02,0.0141,6.16,0.4412,0.73,0.0212,,,1524.7,0.2,0.0,0.03,0.011,,,,,,,,,,,
9882,Winter,OCSD,02/02/2016,07:57,2106,2,71.0,308.8,0.69,13.01,3.943,33.505,25.235,7.92,5.03,8.55,58.82,88.43,0.492,0.16,0.0622,-0.01,0.0125,6.18,0.4409,0.72,0.0212,,,1516.3,0.2,0.0,0.04,0.014,,,,,,,,,,,
9883,Winter,OCSD,02/02/2016,07:57,2106,2,72.0,310.2,0.72,12.97,3.941,33.513,25.249,7.91,4.98,8.55,58.19,88.51,0.488,0.15,0.0618,-0.03,0.0120,6.20,0.4427,0.72,0.0208,,,1532.6,0.2,0.0,0.01,0.005,,,,,,,,,,,
